Health State,SEM Code,Colony ID,Polyp ID,Inner Diameter,Septa Number,Septa width 1,Septa width 2,Septa width 3,Septa width 4,Septa width 5,Septa width 6,Average
GA-HLT,1.a,1,1,891.781,6,30.166,31.928,36.239,57.363,47.069,37.562,40.0545
GA-HLT,1.a,1,2,665.349,6,37.506,37.506,28.009,30.238,13.26,16.934,27.24216667
GA-HLT,1.a,1,3,1077.361,6,78.897,64.623,49.383,42.624,30.542,21.096,47.86083333
GA-HLT,1.b,1,1,862.125,6,40.096,57.659,44.06,37.028,28.724,40.771,41.38966667
GA-HLT,1.b,1,2,918.769,6,28.06,45.807,30.802,45.678,53.608,34.136,39.68183333
GA-HLT,1.b,1,3,843.79,6,38.509,40.01,35.393,32.863,33.768,30.438,35.1635
GA-HLT,1.b,1,4,902.316,6,27.305,34.925,20.209,32.987,36.461,24.612,29.4165
GA-HLT,1.b,1,5,727.485,6,27.949,51.269,32.593,40.742,33.597,27.738,35.648
GA-HLT,1.b,1,6,789.247,6,25.309,23.797,44.805,31.928,40.016,40.55,34.40083333
GA-HLT,1.b,1,7,863.04,6,30.161,54.912,36.834,32.778,46.608,33.663,39.15933333
GA-HLT,1.b,1,8,987.504,6,31.928,23.132,28.296,36.92,32.892,33.771,31.1565
GA-HLT,1.b,1,9,627.053,6,31.804,40.229,33.934,44.104,47.501,23.995,36.92783333
GA-HLT,1.b,1,10,749.504,6,41.42,33.704,48.714,27.401,43.571,24.714,36.58733333
GA-HLT,2.a,2,1,980.611,6,46.17,74.423,46.17,72.143,59.302,41.217,56.57083333
GA-HLT,2.a,2,2,1049.705,6,43.753,27.606,28.152,28.795,49.383,40.194,36.31383333
GA-HLT,2.a,2,3,1133.002,6,76.473,44.403,60.13,59.317,44.06,28.829,52.202
GA-HLT,2.a,2,4,984.97,6,45.408,47.746,25.717,40.662,31.186,31.558,37.04616667
GA-HLT,2.a,2,5,1033.677,6,54.554,40.893,44.498,38.38,46.163,39.618,44.01766667
GA-HLT,3.a,3,1,908.642,6,30.862,29.761,34.832,40.095,22.708,36.615,32.47883333
GA-HLT,3.a,3,2,938.207,6,25.92,29.003,30.139,29.188,19.74,22.774,26.12733333
GA-HLT,3.a,3,3,966.796,6,33.398,31.495,23.981,33.8,28.129,26.431,29.539
GA-HLT,3.b,3,1,803.822,6,21.003,32.42,38.097,21.003,32.671,31.698,29.482
GA-HLT,3.b,3,2,1086.641,6,51.557,31.62,45.528,35.951,14.815,51.557,38.50466667
GA-HLT,4.a,4,1,666.723,6,29.421,16.198,30.593,28.297,37.864,25.744,28.0195
GA-HLT,4.a,4,2,967.932,6,26.514,25.994,43.388,42.57,35.02,15.933,31.56983333
GA-HLT,4.a,4,3,734.981,6,23.877,23.237,31.106,26.696,26.489,28.291,26.616
GA-HLT,4.a,4,4,876.139,6,51.961,41.884,57.829,49.225,46.828,40.01,47.95616667
GA-HLT,4.b,4,1,746.674,6,35.504,48.595,51.065,53.774,21.381,23.549,38.978
GA-HLT,4.b,4,2,978.32,6,48.213,37.79,19.868,49.392,22.089,31.106,34.743
GA-HLT,4.b,4,3,813.936,6,26.291,24.57,19.19,26.291,30.117,32.433,26.482
GA-HLT,4.b,4,4,970.198,6,49.603,45.678,54.192,41.666,45.678,49.722,47.7565
GA-HLT,5.a,5,1,940.366,6,39.96,27.041,27.041,33.088,35.229,35.564,32.98716667
GA-HLT,5.a,5,2,938.785,6,64.827,48.811,32.594,56.211,31.248,56.592,48.3805
GA-HLT,5.a,5,3,932.459,6,36.658,36.006,30.412,29.555,43.783,31.434,34.64133333
GA-HLT,5.a,5,4,710.526,6,42.7,52.245,33.867,38.149,44.438,33.907,40.88433333
GA-HLT,5.b,5,1,694.204,6,40.052,26.976,26.521,29.605,34.579,49.479,34.53533333
GA-HLT,5.b,5,2,798.011,6,54.699,52.136,21.455,28.521,45.162,23.904,37.64616667
GA-HLT,5.b,5,3,723.412,6,21.08,29.195,18.308,30.065,19.472,24.538,23.77633333
GA-HLT,5.b,5,4,799.076,6,14.888,28.563,22.332,13.704,27.548,23.31,21.72416667
GA-HLT,5.b,5,5,947.292,6,23.946,21.061,16.772,25.05,32.892,28.103,24.63733333
GA-HLT,5.c,5,1,810.054,6,25.819,23.762,32.235,15.843,29.438,19.802,24.48316667
GA-HLT,5.c,5,2,694.569,6,28.363,27.476,16.687,17.59,21.254,49.751,26.8535
GA-HLT,5.c,5,3,702.395,6,19.907,19.324,26.708,33.356,27.328,24.815,25.23966667
GA-HLT,5.c,5,4,937.341,6,29.452,28.198,22.445,22.984,25.243,21.452,24.96233333
GA-HLT,5.c,5,5,992.093,6,19.332,37.129,21.149,24.752,17.503,28.222,24.68116667
GA-HLT,5.c,5,6,964.223,6,20.076,20.934,22.849,20.934,17.714,22.066,20.76216667
GA-HLT,5.c,5,7,979.348,6,17.773,25.776,28.39,16.502,28.198,28.004,24.10716667
GA-HLT,6.a,6,1,886.946,6,42.228,23.971,41.038,21.561,27.412,29.86,31.01166667
GA-HLT,6.a,6,2,957.02,6,21.596,30.666,39.04,17.151,37.222,39.679,30.89233333
GA-HLT,6.b,6,1,892.811,6,25.743,28.352,33.838,34.583,33.721,30.805,31.17366667
GA-HLT,6.b,6,2,1072.499,6,29.617,20.942,22.212,24.106,24.106,21.202,23.6975
GA-HLT,6.c,6,1,925.931,6,29.29,26.647,28.144,25.271,31.105,24.888,27.5575
GA-HLT,6.c,6,2,870.359,6,31.558,20.114,23.995,21.243,20.307,24.397,23.60233333
GA-HLT,6.c,6,3,956.462,6,17.459,21.096,32.193,19.907,25.421,24.691,23.46116667
GA-HLT,6.c,6,4,1243.16,6,44.588,28.408,35.769,28.889,21.462,22.183,30.2165
HLT,7.a,7,1,900.119,6,38.381,26.633,42.167,19.939,27.674,29.282,30.67933333
HLT,7.a,7,2,1281.417,6,24.644,23.799,29.703,36.754,34.069,30.709,29.94633333
HLT,7.b,7,1,934.787,6,17.976,28.629,20.277,32.291,34.23,38.532,28.65583333
HLT,8.a,8,1,938.443,6,31.866,44.718,27.526,25.767,16.769,20.633,27.87983333
HLT,8.a,8,2,846.341,6,20.561,20.021,18.173,22.518,16.659,13.244,18.52933333
HLT,8.a,8,3,871.837,6,23.796,21.671,29.478,29.178,29.295,23.046,26.07733333
HLT,8.a,8,4,1122.403,6,18.431,19.81,31.712,34.187,21.012,19.964,24.186
HLT,8.a,8,5,1034.638,6,19.993,22.033,27.935,22.085,32.617,32.099,26.127
HLT,8.a,8,6,960.891,6,19.74,17.115,25.41,23.869,24.099,24.329,22.427
HLT,8.b,8,1,1186.205,6,25.386,19.558,24.383,20.971,22.349,21.769,22.40266667
