Site,Transect,Colony ,Latitude,Longitude,Size Class,GA ,Symbiosis (Y/N/B),Severity,WS tissue ,Tissue loss ,Pale 
SB,SB_02,1,-29.0602463,167.9595063,M,N,NA,NA,N,N,N
SB,SB_02,2,-29.0602275,167.9595335,S,N,NA,NA,N,N,N
SB,SB_02,3,-29.0602007,167.9595397,S,N,NA,NA,N,N,N
SB,SB_02,4,-29.0601627,167.9596153,S,N,NA,NA,N,N,N
SB,SB_02,5,-29.0601413,167.9595803,S,N,NA,NA,N,N,N
SB,SB_02,6,-29.0602293,167.9595183,M,Y,N,1,N,N,N
SB,SB_02,7,-29.0601643,167.9594737,S,N,NA,NA,N,N,N
SB,SB_02,8,-29.060137,167.95948,M,Y,N,1,N,N,N
SB,SB_02,9,-29.0601117,167.9594923,L,Y,B,4,Y,N,N
SB,SB_02,10,-29.0601503,167.9595403,L,Y,Y,3,N,N,N
SB,SB_02,11,-29.060165,167.959504,L,Y,B,3,N,N,N
SB,SB_02,12,-29.0601597,167.9594903,M,N,NA,NA,N,N,N
SB,SB_03,1,-29.060727,167.9600855,L,Y,N,1,N,N,N
SB,SB_03,2,-29.06072,167.960106,L,N,NA,NA,N,N,N
SB,SB_03,3,-29.0607363,167.9600763,L,Y,N,1,N,N,N
SB,SB_03,4,-29.060765,167.9600743,L,Y,N,1,N,N,N
SB,SB_03,5,-29.060802,167.960092,L,Y,N,1,N,N,N
SB,SB_03,6,-29.0607203,167.9600647,S,N,NA,NA,N,N,N
SB,SB_03,7,-29.060734,167.9600287,M,N,NA,NA,N,N,N
SB,SB_03,8,-29.060711,167.960019,L,N,NA,NA,N,Y,N
SB,SB_03,9,-29.060705,167.9600433,L,N,NA,NA,N,N,N
SB,SB_04,1,-29.0601227,167.9601247,L,N,NA,NA,N,N,N
SB,SB_04,2,-29.060143,167.9601313,M,N,NA,NA,N,N,N
SB,SB_04,3,-29.0601323,167.9601177,L,N,NA,NA,N,N,N
SB,SB_04,4,-29.0601093,167.9601507,S,N,NA,NA,N,N,N
SB,SB_04,5,-29.0601717,167.9601343,L,N,NA,NA,N,N,N
SB,SB_04,6,-29.060179,167.9601027,L,N,NA,NA,N,N,N
SB,SB_04,7,-29.0602075,167.9601045,L,N,NA,NA,N,N,N
SB,SB_04,8,-29.0601907,167.960139,M,N,NA,NA,N,N,N
SB,SB_04,9,-29.0602447,167.9600957,M,Y,N,1,N,N,N
SB,SB_04,10,-29.0602045,167.9601875,L,Y,Y,2,N,N,N
SB,SB_07,1,-29.059314,167.957718,S,N,NA,NA,N,Y,N
SB,SB_07,2,-29.0593023,167.9576793,M,N,NA,NA,N,N,N
SB,SB_07,3,-29.059214,167.957692,L,N,NA,NA,N,Y,N
SB,SB_07,4,-29.059188,167.957735,M,N,NA,NA,N,Y,N
SB,SB_07,5,-29.0592723,167.9576207,L,N,NA,NA,N,Y,N
SB,SB_07,6,-29.0592817,167.957653,M,N,NA,NA,N,N,N
SB,SB_07,7,-29.0592337,167.9576597,L,N,NA,NA,N,Y,N
SB,SB_08,1,-29.0591373,167.957338,L,Y,Y,1,N,N,N
SB,SB_08,2,-29.059152,167.9572617,S,N,NA,NA,Y,N,N
SB,SB_08,3,-29.0591487,167.9573423,L,Y,B,2,Y,N,N
SB,SB_08,4,-29.059144,167.9572967,L,Y,B,2,N,N,N
SB,SB_08,5,-29.0591043,167.9573437,L,N,NA,NA,Y,N,N
SB,SB_08,6,-29.058991,167.9572873,L,N,NA,NA,N,N,N
SB,SB_08,7,-29.059225,167.957213,M,N,NA,NA,N,N,N
SB,SB_08,8,-29.0590633,167.9573547,M,N,NA,NA,N,Y,N
SB,SB_08,9,-29.0590527,167.957378,S,N,NA,NA,N,N,N
SB,SB_08,10,-29.0590413,167.957376,S,N,NA,NA,N,N,N
SB,SB_10,1,-29.0597747,167.9596687,S,N,NA,NA,N,N,N
SB,SB_10,2,-29.0597933,167.959681,M,N,NA,NA,N,N,N
SB,SB_10,3,-29.0597943,167.95968,S,N,NA,NA,N,N,N
SB,SB_10,4,-29.059828,167.959704,M,N,NA,NA,N,Y,N
